readGroup	alignedLength	count
allReadGroups	29	3
allReadGroups	30	506
allReadGroups	31	562
allReadGroups	32	499
allReadGroups	33	557
allReadGroups	34	584
allReadGroups	35	651
allReadGroups	36	698
allReadGroups	37	839
allReadGroups	38	912
allReadGroups	39	945
allReadGroups	40	951
allReadGroups	41	1012
allReadGroups	42	1109
allReadGroups	43	1213
allReadGroups	44	1312
allReadGroups	45	1498
allReadGroups	46	1624
allReadGroups	47	1789
allReadGroups	48	1989
allReadGroups	49	2278
allReadGroups	50	2410
allReadGroups	51	2467
allReadGroups	52	2453
allReadGroups	53	2604
allReadGroups	54	2728
allReadGroups	55	2967
allReadGroups	56	3219
allReadGroups	57	3349
allReadGroups	58	3629
allReadGroups	59	4047
allReadGroups	60	4082
allReadGroups	61	4006
allReadGroups	62	3974
allReadGroups	63	4316
allReadGroups	64	4188
allReadGroups	65	4657
allReadGroups	66	5022
allReadGroups	67	5074
allReadGroups	68	5542
allReadGroups	69	6170
allReadGroups	70	6135
allReadGroups	71	6348
allReadGroups	72	6189
allReadGroups	73	5940
allReadGroups	74	6183
allReadGroups	75	6479
allReadGroups	76	7138
allReadGroups	77	7717
allReadGroups	78	9363
allReadGroups	79	12072
allReadGroups	80	14376
allReadGroups	81	14079
allReadGroups	82	11673
allReadGroups	83	10189
allReadGroups	84	9787
allReadGroups	85	10217
allReadGroups	86	10709
allReadGroups	87	11654
allReadGroups	88	13142
allReadGroups	89	15960
allReadGroups	90	21077
allReadGroups	91	26221
allReadGroups	92	27345
allReadGroups	93	23640
allReadGroups	94	20737
allReadGroups	95	20449
allReadGroups	96	22140
allReadGroups	97	24807
allReadGroups	98	28357
allReadGroups	99	33139
allReadGroups	100	38182
allReadGroups	101	42070
allReadGroups	102	42787
allReadGroups	103	43346
allReadGroups	104	41576
allReadGroups	105	40917
allReadGroups	106	42835
allReadGroups	107	46967
allReadGroups	108	52991
allReadGroups	109	59791
allReadGroups	110	68602
allReadGroups	111	79720
allReadGroups	112	81945
allReadGroups	113	78449
allReadGroups	114	72777
allReadGroups	115	72619
allReadGroups	116	77287
