readGroup	readLength	count
allReadGroups	30	508
allReadGroups	31	561
allReadGroups	32	495
allReadGroups	33	559
allReadGroups	34	584
allReadGroups	35	646
allReadGroups	36	700
allReadGroups	37	841
allReadGroups	38	915
allReadGroups	39	939
allReadGroups	40	956
allReadGroups	41	1014
allReadGroups	42	1099
allReadGroups	43	1214
allReadGroups	44	1307
allReadGroups	45	1503
allReadGroups	46	1623
allReadGroups	47	1783
allReadGroups	48	1992
allReadGroups	49	2276
allReadGroups	50	2405
allReadGroups	51	2465
allReadGroups	52	2449
allReadGroups	53	2601
allReadGroups	54	2738
allReadGroups	55	2945
allReadGroups	56	3209
allReadGroups	57	3353
allReadGroups	58	3617
allReadGroups	59	4048
allReadGroups	60	4087
allReadGroups	61	4002
allReadGroups	62	3963
allReadGroups	63	4314
allReadGroups	64	4175
allReadGroups	65	4646
allReadGroups	66	5017
allReadGroups	67	5067
allReadGroups	68	5540
allReadGroups	69	6165
allReadGroups	70	6141
allReadGroups	71	6334
allReadGroups	72	6172
allReadGroups	73	5954
allReadGroups	74	6169
allReadGroups	75	6447
allReadGroups	76	7103
allReadGroups	77	7724
allReadGroups	78	9301
allReadGroups	79	12059
allReadGroups	80	14333
allReadGroups	81	14096
allReadGroups	82	11653
allReadGroups	83	10203
allReadGroups	84	9734
allReadGroups	85	10185
allReadGroups	86	10666
allReadGroups	87	11604
allReadGroups	88	13043
allReadGroups	89	15852
allReadGroups	90	21022
allReadGroups	91	26163
allReadGroups	92	27358
allReadGroups	93	23599
allReadGroups	94	20668
allReadGroups	95	20304
allReadGroups	96	22058
allReadGroups	97	24679
allReadGroups	98	28244
allReadGroups	99	32921
allReadGroups	100	38146
allReadGroups	101	41969
allReadGroups	102	42632
allReadGroups	103	43310
allReadGroups	104	41466
allReadGroups	105	40665
allReadGroups	106	42680
allReadGroups	107	46704
allReadGroups	108	52758
allReadGroups	109	59372
allReadGroups	110	68430
allReadGroups	111	79586
allReadGroups	112	81822
allReadGroups	113	78147
allReadGroups	114	72602
allReadGroups	115	72263
allReadGroups	116	76712
allReadGroups	117	83748
allReadGroups	118	92227
allReadGroups	119	106086
allReadGroups	120	127489
allReadGroups	121	153751
allReadGroups	122	171407
allReadGroups	123	167537
allReadGroups	124	144364
allReadGroups	125	126350
allReadGroups	126	123092
allReadGroups	127	129941
allReadGroups	128	138668
allReadGroups	129	152168
allReadGroups	130	171822
allReadGroups	131	199634
allReadGroups	132	238623
allReadGroups	133	266867
allReadGroups	134	263126
allReadGroups	135	233534
allReadGroups	136	215001
allReadGroups	137	217089
allReadGroups	138	235981
allReadGroups	139	256451
allReadGroups	140	279942
allReadGroups	141	301990
allReadGroups	142	320933
allReadGroups	143	330703
allReadGroups	144	330610
allReadGroups	145	320364
allReadGroups	146	305318
allReadGroups	147	298094
allReadGroups	148	305720
allReadGroups	149	324786
allReadGroups	150	348326
allReadGroups	151	363240
allReadGroups	152	373137
allReadGroups	153	377106
allReadGroups	154	370975
allReadGroups	155	365381
allReadGroups	156	366780
allReadGroups	157	370549
allReadGroups	158	381500
allReadGroups	159	391699
allReadGroups	160	402745
allReadGroups	161	408624
allReadGroups	162	409437
allReadGroups	163	405835
allReadGroups	164	399752
allReadGroups	165	396182
allReadGroups	166	396571
allReadGroups	167	397121
allReadGroups	168	404164
allReadGroups	169	407785
allReadGroups	170	412138
allReadGroups	171	415424
allReadGroups	172	417000
allReadGroups	173	419038
allReadGroups	174	418380
allReadGroups	175	418535
allReadGroups	176	420720
allReadGroups	177	424293
allReadGroups	178	428520
allReadGroups	179	432659
allReadGroups	180	435166
allReadGroups	181	437223
allReadGroups	182	438301
allReadGroups	183	441585
allReadGroups	184	443348
allReadGroups	185	445269
allReadGroups	186	447301
allReadGroups	187	451589
allReadGroups	188	454267
allReadGroups	189	459361
allReadGroups	190	460799
allReadGroups	191	465146
allReadGroups	192	468274
allReadGroups	193	471680
allReadGroups	194	473371
allReadGroups	195	479073
allReadGroups	196	481247
allReadGroups	197	484588
allReadGroups	198	489544
allReadGroups	199	495313
allReadGroups	200	499430
allReadGroups	201	501956
allReadGroups	202	505030
allReadGroups	203	508413
allReadGroups	204	511335
allReadGroups	205	514905
allReadGroups	206	521000
allReadGroups	207	525210
allReadGroups	208	527052
allReadGroups	209	534106
allReadGroups	210	537157
allReadGroups	211	541462
allReadGroups	212	547510
allReadGroups	213	549636
allReadGroups	214	552754
allReadGroups	215	558147
allReadGroups	216	561911
allReadGroups	217	566023
allReadGroups	218	572843
