readGroup	mappingQuality	count
allReadGroups	30	1013962
allReadGroups	31	542658
allReadGroups	32	298447
allReadGroups	33	728346
allReadGroups	34	452373
allReadGroups	35	354622
allReadGroups	36	521939
allReadGroups	37	614096
allReadGroups	38	533991
allReadGroups	39	914399
allReadGroups	40	27772366
allReadGroups	41	625763
allReadGroups	42	1123246
allReadGroups	43	1095524
allReadGroups	44	947063
allReadGroups	45	1971257
allReadGroups	46	1253870
allReadGroups	47	2071862
allReadGroups	48	2217923
allReadGroups	49	1914565
allReadGroups	50	5629381
allReadGroups	51	630794
allReadGroups	52	1155621
allReadGroups	53	408985
allReadGroups	54	530374
allReadGroups	55	1048034
allReadGroups	56	121280
allReadGroups	57	786215
allReadGroups	58	155506
allReadGroups	59	353834
allReadGroups	60	1787253596
SRR5663646	30	283830
SRR5663646	31	148697
SRR5663646	32	83018
SRR5663646	33	203334
SRR5663646	34	122869
SRR5663646	35	93919
SRR5663646	36	138130
SRR5663646	37	162805
SRR5663646	38	119993
SRR5663646	39	247585
SRR5663646	40	7851380
SRR5663646	41	167097
SRR5663646	42	309775
SRR5663646	43	298181
SRR5663646	44	257780
SRR5663646	45	543181
SRR5663646	46	342033
SRR5663646	47	573659
SRR5663646	48	620691
SRR5663646	49	509710
SRR5663646	50	1584353
SRR5663646	51	151437
SRR5663646	52	315699
SRR5663646	53	111366
SRR5663646	54	132939
SRR5663646	55	292655
SRR5663646	56	23198
SRR5663646	57	201255
SRR5663646	58	41753
SRR5663646	59	83959
SRR5663646	60	501818609
SRR5663647	30	309995
SRR5663647	31	200755
SRR5663647	32	121728
SRR5663647	33	287875
SRR5663647	34	182311
SRR5663647	35	144759
SRR5663647	36	193108
SRR5663647	37	248122
SRR5663647	38	176902
SRR5663647	39	391985
SRR5663647	40	11264580
SRR5663647	41	266423
SRR5663647	42	491255
SRR5663647	43	482739
SRR5663647	44	415109
SRR5663647	45	898753
SRR5663647	46	544870
SRR5663647	47	920079
SRR5663647	48	986617
SRR5663647	49	840205
SRR5663647	50	2499911
SRR5663647	51	250127
SRR5663647	52	509221
SRR5663647	53	184891
SRR5663647	54	227082
SRR5663647	55	474632
SRR5663647	56	38659
SRR5663647	57	396311
SRR5663647	58	69042
SRR5663647	59	139745
SRR5663647	60	774827669
SRR5663648	30	112319
SRR5663648	31	55431
SRR5663648	32	24059
SRR5663648	33	61884
SRR5663648	34	37056
SRR5663648	35	28571
SRR5663648	36	55405
SRR5663648	37	53862
SRR5663648	38	108467
SRR5663648	39	62084
SRR5663648	40	1632967
SRR5663648	41	49804
SRR5663648	42	62009
SRR5663648	43	68859
SRR5663648	44	55924
SRR5663648	45	92263
SRR5663648	46	81435
SRR5663648	47	105324
SRR5663648	48	105481
SRR5663648	49	120307
SRR5663648	50	266050
SRR5663648	51	87624
SRR5663648	52	69939
SRR5663648	53	20655
SRR5663648	54	53462
SRR5663648	55	50479
SRR5663648	56	32453
SRR5663648	57	38543
SRR5663648	58	8721
SRR5663648	59	49336
SRR5663648	60	97786414
SRR5663649	30	260042
SRR5663649	31	123649
SRR5663649	32	63589
SRR5663649	33	158515
SRR5663649	34	103042
SRR5663649	35	81725
SRR5663649	36	119921
SRR5663649	37	136470
SRR5663649	38	99447
SRR5663649	39	197473
SRR5663649	40	6594610
SRR5663649	41	129564
SRR5663649	42	244286
SRR5663649	43	228318
SRR5663649	44	203639
SRR5663649	45	413309
SRR5663649	46	264661
SRR5663649	47	445823
SRR5663649	48	477731
SRR5663649	49	414343
SRR5663649	50	1207876
SRR5663649	51	118240
SRR5663649	52	242860
SRR5663649	53	87224
SRR5663649	54	103164
SRR5663649	55	217229
SRR5663649	56	18452
SRR5663649	57	141603
SRR5663649	58	33885
SRR5663649	59	67865
SRR5663649	60	386526958
SRR5663650	30	47776
SRR5663650	31	14126
SRR5663650	32	6053
SRR5663650	33	16738
SRR5663650	34	7095
SRR5663650	35	5648
SRR5663650	36	15375
SRR5663650	37	12837
SRR5663650	38	29182
SRR5663650	39	15272
SRR5663650	40	428829
SRR5663650	41	12875
SRR5663650	42	15921
SRR5663650	43	17427
SRR5663650	44	14611
SRR5663650	45	23751
SRR5663650	46	20871
SRR5663650	47	26977
SRR5663650	48	27403
SRR5663650	49	30000
SRR5663650	50	71191
SRR5663650	51	23366
SRR5663650	52	17902
SRR5663650	53	4849
SRR5663650	54	13727
SRR5663650	55	13039
SRR5663650	56	8518
SRR5663650	57	8503
SRR5663650	58	2105
SRR5663650	59	12929
SRR5663650	60	26293946
